precio_total,margen,codigo_modelo_codificado,total_ventas
"26580,17","0,14759999670088292",59Q17B101Z3B47O31K59Q17G10C43N,348
"22149,3","0,12300000183284282",43N61R2A10C47O31K59Q13H10C43N,346
"29238,77","0,14759999670088292",59Q17B83W3B47O31K47O17G10C43N,340
"25799,4","0,14759999670088292",89X43N17G47O47O31K10C41M89X47O,334
"24888,87","0,14759999670088292",59Q10C71T3B47O31K61R41M89X47O,332
"15567,77","0,11070000439882278",43N59Q23I37L47O31K101Z5C10C43N,328
"12385,95","0,11070000439882278",43N83W29J31K47O31K17B,326
"23720,66","0,12300000183284282",37L43N83W71T47O37L103A,324
"21171,17","0,14759999670088292",73U37L23I83W47O31K43N41M10C43N,322
"26373,55","0,12300000183284282",43N53P17B13F47O37L41M,320
"23811,33","0,14759999670088292",89X43N17G43N47O37L11E41M89X47O,320
"23083,7","0,12300000183284282",37L31K37L47O47O31K53P7D10C43N,318
"18185,09","0,12300000183284282",43N79V23I13G47O31K73U,316
"18828,1","0,12300000183284282",43N61R2A11D47O31K61R13H10C43N,316
"25938,57","0,14759999670088292",73U79V7D37L47O31K101Z41M89X47O,316
"30264,61","0,14759999670088292",89X53P19H41M47O31K5C83W10C43N,316
"17852,89","0,12300000183284282",37L31K43N61R47O31K101Z,314
"31497,52","0,12300000183284282",43N53P10C17G47O31K17B,314
"23795,43","0,14759999670088292",89X43N3B59Q47O31K83W83W10C43N,314
"24507,16","0,14759999670088292",73U79V7D47O47O31K47O41M101Z47O,312
"19522,31","0,12300000183284282",37L43N83W13G47O31K11E,310
"14177,14","0,11070000439882278",43N71T7D13F47O31K53P41M101Z47O,308
"18348,11","0,12300000183284282",43N79V23I13F47O31K79V13H10C43N,308
"25226,84","0,12300000183284282",43N79V29J37L47O31K61R41M89X47O,306
"20375,94","0,12300000183284282",43N79V23I13F47O31K89X41M89X47O,306
"28725,84","0,14759999670088292",73U71T89X13F47O31K13G,306
"19340,5","0,12300000183284282",37L31K43N79V47O31K89X7D10C43N,304
"26896,82","0,14759999670088292",73U41M43N13F47O31K43N41M10C43N,302
"15571,9","0,11070000439882278",43N71T7D11D47O31K73U41M89X47O,300
"22892,84","0,12300000183284282",37L43N89X31K47O41M5C,300
"26956,46","0,12300000183284282",43N53P17B19H47O31K17G,292
"11972,73","0,11070000439882278",43N83W23I73U47O31K83W,290
"23318,29","0,14759999670088292",73U53P13F23I47O31K31K,288
"25877,69","0,12300000183284282",43N59Q73U29J47O37L53P71T31K89X,286
"26737,77","0,14759999670088292",73U71T89X13F47O31K79V,286
"14452,07","0,11070000439882278",43N71T7D11D47O31K17G5C10C43N,282
"30753,72","0,12300000183284282",43N53P10C11E47O41M89X10C97Y47O,280
"20809,34","0,12300000183284282",37L59Q71T43N47O31K41M,280
"30713,92","0,14759999670088292",73U41M47O19H47O31K89X41M10C43N,280
"30972,37","0,12300000183284282",43N59Q37L41M47O31K103A10C41M37L,278
"17753,72","0,12300000183284282",43N61R11E41M47O31K41M,276
"17985,12","0,11070000439882278",43N61R83W19H47O37L37L,276
"20252,68","0,12300000183284282",43N47O13F89X47O31K61R,276
"26976,34","0,14759999670088292",89X53P5C101Z47O31K37L17B17B101Z,270
